Actual_value,predicted_by_model
13000.0,13610.716252473656
4500.0,6554.426003299899
10000.0,11859.527926119981
10450.0,12056.644757602713
18000.0,11378.92684346841
4000.0,7061.721258413521
9600.0,15405.31105933747
8000.0,10968.279261498928
10000.0,7884.335431715599
1375.0,3369.192498089915
4500.0,4272.1297845447025
3000.0,6321.224281274823
8000.0,7235.698545803265
3500.0,6306.523601681161
8000.0,13285.79676282718
2500.0,2709.2865562944253
23000.0,21022.483862331337
2000.0,2679.4465713109257
20000.0,13444.372727953283
7150.0,5927.206106591706
6000.0,11420.936557804582
12000.0,6890.062702256886
14000.0,11373.955078322764
10000.0,8927.677021213716
6000.0,6800.102486480477
10000.0,10720.947209093158
10000.0,9954.466278541277
2500.0,5066.034629856425
5600.0,6463.12757798496
6000.0,6247.766602729174
6500.0,5573.118466798242
12000.0,11034.021938993039
8371.0,6178.519573325913
1901.0,3584.618740895463
8000.0,10469.470895736471
10500.0,10430.40948717297
6000.0,8056.103888573141
8000.0,9116.967803011154
2800.0,7358.992847509373
6000.0,4214.421187537915
1800.0,2003.056970399719
2500.0,1012.8042656273537
5500.0,7477.966735416441
14500.0,21662.972487430703
9227.0,11990.831214003261
3600.0,3568.110474878371
15000.0,11527.894636389618
9600.0,8307.04216370177
24000.0,13101.573224806096
5000.0,7709.197628352151
14125.0,17365.522260557118
5000.0,5940.585543166888
21600.0,15664.441738574991
7000.0,5469.247576334306
10000.0,9706.740556103912
5500.0,6990.2302595430465
12000.0,12375.27095988909
7800.0,9643.939701775274
2200.0,3021.958392658563
5000.0,6364.572739839836
6000.0,7235.641322736959
20000.0,12149.587784571959
24000.0,13541.380014360115
20000.0,14181.434196138754
7500.0,5952.99923307768
10650.0,12846.456107616046
9000.0,10317.122318148253
15000.0,11358.421660380238
17500.0,14201.690770156882
24000.0,17806.824613606066
6533.0,6610.437607263855
3000.0,4401.2304944623975
7200.0,14815.757468475866
15000.0,16204.672019808295
1800.0,3914.1409440045263
12000.0,10006.168380921565
3477.0,4897.273917810797
10000.0,10273.750893635408
6000.0,7206.969787786569
9694.0,10691.719307330979
8000.0,7429.089898692822
9000.0,9786.00565600843
7128.0,8462.101153950327
10000.0,13863.576674856376
5000.0,3857.0276807087703
9000.0,10524.694785807154
5000.0,3372.3924962730634
13000.0,7583.54258629898
10800.0,10487.257322857266
2400.0,1985.5675127313407
7500.0,6089.231971412872
6000.0,6269.616731569295
7500.0,8978.556961814133
18000.0,15176.753491798958
12000.0,9485.090521511356
15075.0,20831.55007927712
12000.0,9005.458909246594
16000.0,17038.274311161105
2500.0,2446.0823533901057
12000.0,11070.152819059396
20000.0,12636.094899411954
5500.0,6745.086151186966
9000.0,8484.710227570284
15000.0,10359.014902460913
2300.0,3455.9647379670278
6000.0,6767.289483564877
20000.0,11989.300328440884
20000.0,13575.396545477037
2000.0,5478.748112884692
8000.0,9795.944083413877
7200.0,9162.075390100474
5000.0,8821.75065295171
5000.0,6100.833817285742
12000.0,10558.151042798137
9600.0,11968.832380840517
4850.0,9824.857920536939
8000.0,11759.335858880759
10000.0,7633.573658983207
7500.0,7777.841303474846
1513.0,2273.9847001959924
15000.0,11761.293903868362
5000.0,7569.59186446186
2000.0,2663.3111841232603
12000.0,9748.93210460978
8000.0,8522.641725560488
18000.0,14247.829995720283
10000.0,8981.274914792193
2400.0,4225.6089575195765
25000.0,15708.737755474292
7000.0,8792.402242041519
7000.0,7608.860011975668
5000.0,5423.854219290479
3000.0,7704.04294216905
8500.0,12497.981992230561
6000.0,7373.412713557378
12000.0,8909.397980758691
24000.0,19063.597277846686
9147.0,8773.761041013702
4200.0,6382.683329987796
4000.0,5020.466034764293
3100.0,6601.398425013476
8479.0,12285.639462256546
3000.0,3501.02777687827
5000.0,6664.248894995157
6000.0,10878.213617015941
24000.0,16562.13745902696
25000.0,13391.016736371861
8650.0,6955.079599363333
9600.0,11300.442910328333
16000.0,14028.74140029978
12000.0,13164.66930180191
4400.0,7356.768721089358
14458.0,12483.205795898186
20000.0,18160.50082401659
9600.0,9489.06525589807
14800.0,10266.297898280533
16000.0,16725.920934368187
25000.0,26213.368049680597
12000.0,10322.968862220496
5477.0,7555.298156552952
4200.0,4837.560910252681
7025.0,7529.75623302297
5000.0,4935.118194762215
4500.0,4744.791900897073
35000.0,17161.525177258925
3600.0,5065.467843101815
12000.0,9735.125962698497
12350.0,6619.333970164584
7800.0,6030.068597446763
15000.0,10069.257266116494
1500.0,2664.8656830693617
7000.0,7788.136437789359
12250.0,11786.341735751046
17600.0,12173.537970954458
9000.0,4843.834935567229
20000.0,21079.70351557545
9000.0,13349.067168244932
6000.0,11582.283374099565
2400.0,4719.571947204213
20000.0,13933.418152788858
5100.0,7460.824252028029
5500.0,8303.13269296764
4375.0,10552.794770540679
3000.0,3732.192284464133
15000.0,13415.898432120513
7175.0,9746.63672984653
1000.0,-311.68963456983056
